2024-07-23 07:14:42 status installed libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:42 remove libssh2-1:amd64 1.10.0-3+b1 <none>
2024-07-23 07:14:42 status half-configured libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:42 status half-installed libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:42 status config-files libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:42 status not-installed libssh2-1:amd64 <none>
2024-07-23 07:14:42 status installed readline-common:all 8.2-1.3
2024-07-23 07:14:42 remove readline-common:all 8.2-1.3 <none>
2024-07-23 07:14:42 status half-configured readline-common:all 8.2-1.3
2024-07-23 07:14:42 status half-installed readline-common:all 8.2-1.3
2024-07-23 07:14:42 status config-files readline-common:all 8.2-1.3
2024-07-23 07:14:42 startup packages configure
2024-07-23 07:14:42 trigproc libc-bin:amd64 2.36-9+deb12u7 <none>
2024-07-23 07:14:42 status half-configured libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:42 status installed libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:42 startup packages purge
2024-07-23 07:14:42 purge libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:42 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:42 status not-installed libgssapi-krb5-2:amd64 <none>
2024-07-23 07:14:42 purge readline-common:all 8.2-1.3 <none>
2024-07-23 07:14:42 status config-files readline-common:all 8.2-1.3
2024-07-23 07:14:42 status not-installed readline-common:all <none>
2024-07-23 07:14:42 startup packages configure
2024-07-23 07:14:47 startup archives unpack
2024-07-23 07:14:47 install gettext-base:amd64 <none> 0.21-12
2024-07-23 07:14:47 status half-installed gettext-base:amd64 0.21-12
2024-07-23 07:14:47 status unpacked gettext-base:amd64 0.21-12
2024-07-23 07:14:47 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-07-23 07:14:47 status triggers-pending libc-bin:amd64 2.36-9+deb12u7
2024-07-23 07:14:47 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:47 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:47 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2024-07-23 07:14:47 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2024-07-23 07:14:47 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 install libkeyutils1:amd64 <none> 1.6.3-2
2024-07-23 07:14:47 status half-installed libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:47 status unpacked libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:47 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2024-07-23 07:14:47 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2024-07-23 07:14:47 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:47 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-07-23 07:14:47 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:47 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:47 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-07-23 07:14:47 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:47 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:47 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-07-23 07:14:47 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:47 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:47 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u1
2024-07-23 07:14:47 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:47 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:47 install libpsl5:amd64 <none> 0.21.2-1
2024-07-23 07:14:47 status half-installed libpsl5:amd64 0.21.2-1
2024-07-23 07:14:47 status unpacked libpsl5:amd64 0.21.2-1
2024-07-23 07:14:47 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:47 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:47 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:47 install libssh2-1:amd64 <none> 1.10.0-3+b1
2024-07-23 07:14:47 status half-installed libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:47 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:47 install libcurl4:amd64 <none> 7.88.1-10+deb12u6
2024-07-23 07:14:47 status half-installed libcurl4:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:47 status unpacked libcurl4:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:47 install curl:amd64 <none> 7.88.1-10+deb12u6
2024-07-23 07:14:47 status half-installed curl:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:47 status unpacked curl:amd64 7.88.1-10+deb12u6
2024-07-23 07:14:47 install fonts-dejavu-core:all <none> 2.37-6
2024-07-23 07:14:47 status half-installed fonts-dejavu-core:all 2.37-6
2024-07-23 07:14:47 status unpacked fonts-dejavu-core:all 2.37-6
2024-07-23 07:14:47 install fontconfig-config:amd64 <none> 2.14.1-4
2024-07-23 07:14:47 status half-installed fontconfig-config:amd64 2.14.1-4
2024-07-23 07:14:47 status unpacked fontconfig-config:amd64 2.14.1-4
2024-07-23 07:14:47 install libabsl20220623:amd64 <none> 20220623.1-1
2024-07-23 07:14:47 status half-installed libabsl20220623:amd64 20220623.1-1
2024-07-23 07:14:47 status unpacked libabsl20220623:amd64 20220623.1-1
2024-07-23 07:14:47 install libaom3:amd64 <none> 3.6.0-1
2024-07-23 07:14:47 status half-installed libaom3:amd64 3.6.0-1
2024-07-23 07:14:47 status unpacked libaom3:amd64 3.6.0-1
2024-07-23 07:14:47 install libdav1d6:amd64 <none> 1.0.0-2+deb12u1
2024-07-23 07:14:47 status half-installed libdav1d6:amd64 1.0.0-2+deb12u1
2024-07-23 07:14:47 status unpacked libdav1d6:amd64 1.0.0-2+deb12u1
2024-07-23 07:14:47 install libgav1-1:amd64 <none> 0.18.0-1+b1
2024-07-23 07:14:47 status half-installed libgav1-1:amd64 0.18.0-1+b1
2024-07-23 07:14:47 status unpacked libgav1-1:amd64 0.18.0-1+b1
2024-07-23 07:14:47 install librav1e0:amd64 <none> 0.5.1-6
